--  Reading input file  --: 

File                          : att48_p3_f50_lL
Comment                       : Optimal value not allowing waiting: 25211
                                Optimal value allowing waiting    : 24954
Type                          : CONTSP
Dimension                     : 48
Number of days                : 3
Distance                      : 9398
Maximum allowable differential: 854
Edge Weigh Type               : ATT
Reading coords                : 48
Reading demands               : 48
Depot                         : 1
EOF                           : 

