--  Reading input file  --: 

File                          : kroB100_p3_f90_lL
Type                          : CONTSP
Comment                       : Optimal value not allowing waiting: 65095
                                Optimal value allowing waiting    : 65095
Dimension                     : 100
Number of days                : 3
Distance                      : 24201
Maximum allowable differential: 2200
Edge Weigh Type               : EUC_2D
Reading coords                : 100
Reading demands               : 100
Depot                         : 1
EOF                           : 

