--  Reading input file  --: 

File                          : gr96_p3_f50_lM
Type                          : CONTSP
Comment                       : Optimal value not allowing waiting: 121320
                                Optimal value allowing waiting    : 120412
Dimension                     : 96
Number of days                : 3
Distance                      : 47122
Maximum allowable differential: 6425
Edge Weigh Type               : GEO
Display Data Type             : COORD_DISPLAY
Reading coords                : 96
Reading demands               : 96
Depot                         : 1
EOF                           : 

