--  Reading input file  --: 

File                          : brazil58_p3_f70_lM
Type                          : CONTSP
Comment                       : Optimal value not allowing waiting: 70990
                                Optimal value allowing waiting    : 70766
Dimension                     : 58
Number of days                : 3
Distance                      : 26604
Maximum allowable differential: 3627
Edge Weigh Type               : EXPLICIT
Edge Weigh Format             : UPPER_ROW
Reading distances             : 58
Reading demands               : 58
Depot                         : 1
EOF                           : 

