--  Reading input file  --: 

File                          : kroA100_p5_f70_lH
Type                          : CONTSP
Comment                       : Optimal value not allowing waiting: 91144
                                Optimal value allowing waiting    : 91144
Dimension                     : 100
Number of days                : 5
Distance                      : 20764
Maximum allowable differential: 3775
Edge Weigh Type               : EUC_2D
Reading coords                : 100
Reading demands               : 100
Depot                         : 1
EOF                           : 

